bin,n,predicted,observed,absolute_error,outcome,analysis,validation,model
0,7,0.0918859425014063,0.2857142857142857,0.1938283432128793,ana_dura,primary_complete_case,nested_cv,Logistic LASSO
1,164,0.170320754699239,0.1890243902439024,0.0187036355446633,ana_dura,primary_complete_case,nested_cv,Logistic LASSO
2,890,0.2624303524072806,0.2955056179775281,0.0330752655702475,ana_dura,primary_complete_case,nested_cv,Logistic LASSO
3,2706,0.3561942788909081,0.359940872135994,0.0037465932450859,ana_dura,primary_complete_case,nested_cv,Logistic LASSO
4,2907,0.4455681296780862,0.4279325765393877,0.0176355531386985,ana_dura,primary_complete_case,nested_cv,Logistic LASSO
5,521,0.5199928852663266,0.5355086372360844,0.0155157519697578,ana_dura,primary_complete_case,nested_cv,Logistic LASSO
6,13,0.6515567821051936,0.5384615384615384,0.1130952436436552,ana_dura,primary_complete_case,nested_cv,Logistic LASSO
7,1,0.705151071903876,1.0,0.2948489280961239,ana_dura,primary_complete_case,nested_cv,Logistic LASSO
0,8,0.0922270775438275,0.25,0.1577729224561724,ana_dura,primary_complete_case,nested_cv,Automatic integer score
1,187,0.1706384262427731,0.1871657754010695,0.0165273491582964,ana_dura,primary_complete_case,nested_cv,Automatic integer score
2,934,0.2631049260915551,0.3019271948608137,0.0388222687692585,ana_dura,primary_complete_case,nested_cv,Automatic integer score
3,2645,0.3565274529227079,0.3606805293005671,0.0041530763778591,ana_dura,primary_complete_case,nested_cv,Automatic integer score
4,2800,0.4454160201953751,0.4260714285714285,0.0193445916239465,ana_dura,primary_complete_case,nested_cv,Automatic integer score
5,620,0.5199313224199891,0.5274193548387097,0.0074880324187206,ana_dura,primary_complete_case,nested_cv,Automatic integer score
6,12,0.6436201807801473,0.5,0.1436201807801472,ana_dura,primary_complete_case,nested_cv,Automatic integer score
7,3,0.7061266895530979,0.6666666666666666,0.0394600228864312,ana_dura,primary_complete_case,nested_cv,Automatic integer score
1,6,0.1708611624186945,0.3333333333333333,0.1624721709146388,ana_dura,primary_complete_case,temporal_holdout,Logistic LASSO
2,29,0.2585522997443568,0.3793103448275862,0.1207580450832293,ana_dura,primary_complete_case,temporal_holdout,Logistic LASSO
3,153,0.3590824265114961,0.2745098039215686,0.0845726225899274,ana_dura,primary_complete_case,temporal_holdout,Logistic LASSO
4,206,0.4462245220542771,0.3543689320388349,0.0918555900154421,ana_dura,primary_complete_case,temporal_holdout,Logistic LASSO
5,28,0.5226333141797131,0.4285714285714285,0.0940618856082846,ana_dura,primary_complete_case,temporal_holdout,Logistic LASSO
6,1,0.6669512629406988,1.0,0.3330487370593011,ana_dura,primary_complete_case,temporal_holdout,Logistic LASSO
1,6,0.1638563527585124,0.3333333333333333,0.1694769805748208,ana_dura,primary_complete_case,temporal_holdout,Automatic integer score
2,32,0.2572360131805121,0.34375,0.0865139868194878,ana_dura,primary_complete_case,temporal_holdout,Automatic integer score
3,144,0.3568670595875171,0.2708333333333333,0.0860337262541837,ana_dura,primary_complete_case,temporal_holdout,Automatic integer score
4,193,0.4416015738570902,0.3730569948186528,0.0685445790384373,ana_dura,primary_complete_case,temporal_holdout,Automatic integer score
5,47,0.5179249314936565,0.3404255319148936,0.1774993995787628,ana_dura,primary_complete_case,temporal_holdout,Automatic integer score
6,1,0.6771373077786997,1.0,0.3228626922213002,ana_dura,primary_complete_case,temporal_holdout,Automatic integer score
0,5,0.0938894316554069,0.0,0.0938894316554069,ana_dura,primary_complete_case,nested_cv,XGBoost
1,101,0.1579653747601084,0.1584158415841584,0.00045046682405,ana_dura,primary_complete_case,nested_cv,XGBoost
2,830,0.2658568058746406,0.2759036144578313,0.0100468085831906,ana_dura,primary_complete_case,nested_cv,XGBoost
3,2733,0.3555907583851714,0.3563849249908525,0.0007941666056811,ana_dura,primary_complete_case,nested_cv,XGBoost
4,3223,0.4440872998497259,0.4365497983245423,0.0075375015251835,ana_dura,primary_complete_case,nested_cv,XGBoost
5,317,0.5196938018317478,0.5520504731861199,0.032356671354372,ana_dura,primary_complete_case,nested_cv,XGBoost
1,2,0.1809947118163108,0.0,0.1809947118163108,ana_dura,primary_complete_case,temporal_holdout,XGBoost
2,47,0.2653392011180837,0.2127659574468085,0.0525732436712752,ana_dura,primary_complete_case,temporal_holdout,XGBoost
3,143,0.3587929385525363,0.3146853146853147,0.0441076238672216,ana_dura,primary_complete_case,temporal_holdout,XGBoost
4,218,0.4434824572243822,0.3669724770642202,0.0765099801601619,ana_dura,primary_complete_case,temporal_holdout,XGBoost
5,13,0.5179167940066411,0.4615384615384615,0.0563783324681795,ana_dura,primary_complete_case,temporal_holdout,XGBoost
0,85,0.0822870403528213,0.0117647058823529,0.0705223344704684,ana_dura,sensitivity_native_missing,nested_cv,XGBoost
1,477,0.1668088996247925,0.0985324947589098,0.0682764048658826,ana_dura,sensitivity_native_missing,nested_cv,XGBoost
2,2559,0.2656678992085924,0.2669011332551778,0.0012332340465853,ana_dura,sensitivity_native_missing,nested_cv,XGBoost
3,9870,0.3586896080557698,0.3499493414387031,0.0087402666170666,ana_dura,sensitivity_native_missing,nested_cv,XGBoost
4,8154,0.4376517607318089,0.4480009811135639,0.010349220381755,ana_dura,sensitivity_native_missing,nested_cv,XGBoost
5,598,0.5218862753648025,0.5735785953177257,0.0516923199529232,ana_dura,sensitivity_native_missing,nested_cv,XGBoost
6,19,0.6228992342948914,1.0,0.3771007657051086,ana_dura,sensitivity_native_missing,nested_cv,XGBoost
0,1,0.0556894317269325,0.0,0.0556894317269325,ana_dura,sensitivity_native_missing,temporal_holdout,XGBoost
1,29,0.1667724403327909,0.0689655172413793,0.0978069230914115,ana_dura,sensitivity_native_missing,temporal_holdout,XGBoost
2,219,0.2665014136327456,0.2191780821917808,0.0473233314409647,ana_dura,sensitivity_native_missing,temporal_holdout,XGBoost
3,575,0.3521540131257928,0.3339130434782609,0.0182409696475319,ana_dura,sensitivity_native_missing,temporal_holdout,XGBoost
4,251,0.4292039149310959,0.3904382470119522,0.0387656679191437,ana_dura,sensitivity_native_missing,temporal_holdout,XGBoost
